time,value,date
14:29:01,81,2021-10-08 14:29:01
14:29:11,83,2021-10-08 14:29:11
14:29:16,82,2021-10-08 14:29:16
14:29:21,81,2021-10-08 14:29:21
14:29:26,80,2021-10-08 14:29:26
14:29:31,78,2021-10-08 14:29:31
14:29:36,80,2021-10-08 14:29:36
14:29:41,78,2021-10-08 14:29:41
14:29:46,79,2021-10-08 14:29:46
14:29:51,76,2021-10-08 14:29:51
14:30:01,81,2021-10-08 14:30:01
14:30:16,82,2021-10-08 14:30:16
14:30:26,87,2021-10-08 14:30:26
14:30:31,86,2021-10-08 14:30:31
14:30:36,86,2021-10-08 14:30:36
14:30:41,85,2021-10-08 14:30:41
14:30:46,83,2021-10-08 14:30:46
14:30:51,83,2021-10-08 14:30:51
14:31:01,80,2021-10-08 14:31:01
14:31:06,81,2021-10-08 14:31:06
14:31:11,83,2021-10-08 14:31:11
14:31:16,84,2021-10-08 14:31:16
14:31:21,84,2021-10-08 14:31:21
14:31:26,82,2021-10-08 14:31:26
14:31:31,81,2021-10-08 14:31:31
14:31:36,80,2021-10-08 14:31:36
14:31:41,81,2021-10-08 14:31:41
14:31:46,83,2021-10-08 14:31:46
14:31:51,84,2021-10-08 14:31:51
14:31:56,83,2021-10-08 14:31:56
14:32:01,83,2021-10-08 14:32:01
14:32:06,83,2021-10-08 14:32:06
14:32:11,84,2021-10-08 14:32:11
14:32:16,81,2021-10-08 14:32:16
14:32:21,82,2021-10-08 14:32:21
14:32:26,81,2021-10-08 14:32:26
14:32:41,82,2021-10-08 14:32:41
14:32:51,81,2021-10-08 14:32:51
14:32:56,82,2021-10-08 14:32:56
14:33:01,83,2021-10-08 14:33:01
14:33:06,84,2021-10-08 14:33:06
14:33:11,85,2021-10-08 14:33:11
14:33:16,82,2021-10-08 14:33:16
14:33:21,81,2021-10-08 14:33:21
14:33:31,80,2021-10-08 14:33:31
14:33:36,81,2021-10-08 14:33:36
14:33:46,81,2021-10-08 14:33:46
14:33:56,81,2021-10-08 14:33:56
14:34:01,80,2021-10-08 14:34:01
14:34:11,79,2021-10-08 14:34:11
14:34:16,80,2021-10-08 14:34:16
14:34:21,85,2021-10-08 14:34:21
14:34:26,86,2021-10-08 14:34:26
14:34:31,90,2021-10-08 14:34:31
14:34:36,91,2021-10-08 14:34:36
14:34:41,92,2021-10-08 14:34:41
14:34:46,94,2021-10-08 14:34:46
14:34:51,93,2021-10-08 14:34:51
14:35:01,90,2021-10-08 14:35:01
14:35:06,88,2021-10-08 14:35:06
14:35:11,86,2021-10-08 14:35:11
14:35:16,85,2021-10-08 14:35:16
14:35:21,84,2021-10-08 14:35:21
14:35:26,85,2021-10-08 14:35:26
14:35:31,88,2021-10-08 14:35:31
14:35:36,86,2021-10-08 14:35:36
14:35:41,88,2021-10-08 14:35:41
14:35:51,86,2021-10-08 14:35:51
14:36:01,84,2021-10-08 14:36:01
14:36:06,82,2021-10-08 14:36:06
14:36:11,83,2021-10-08 14:36:11
14:36:16,81,2021-10-08 14:36:16
14:36:21,84,2021-10-08 14:36:21
